Nombre de logements indignes et non décents;Libellé du type d'action;Libellé région;Code INSEE région;Libellé département;Code INSEE département;année d’entrée dans l’observatoire;mois d’entrée dans l’observatoire;jour d’entrée dans l’observatoire
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2012;1;10/01/12
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2012;10;03/10/12
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2012;11;23/11/12
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2013;2;01/02/13
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2013;7;01/07/13
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2013;7;17/07/13
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2013;7;25/07/13
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2013;9;23/09/13
2;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2013;11;14/11/13
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2013;11;28/11/13
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2014;1;01/01/14
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2014;1;09/01/14
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2014;2;03/02/14
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2014;4;16/04/14
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2014;4;18/04/14
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2014;6;17/06/14
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2014;9;01/09/14
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2014;10;30/10/14
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2014;12;12/12/14
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2015;2;04/02/15
1;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2015;2;11/02/15
2;Constat de non décence;AUVERGNE-RHONE-ALPES;84;AIN;1;2015;2;26/02/15
