Dept,VIH,Population,Prevalence,nb_actes_delinquance,taux_delinquance_pour_mille,tx_chomage,Revenu annuel Moyen (en millier d’euros),densite_pop,tx_pauvrete
1,50,67510,0.0740631017627018,201280,1.7037037037037,5.6,NA,116.48,10.8
2,20,56030,0.0356951633053721,194121,2.03086419753086,10.2,NA,71.39,18.8
3,20,31250,0.064,110864,1.7037037037037,7.8,NA,45.6,16.2
4,0,15750,0,68589,2.2283950617284,7.8,NA,24.14,17.1
5,0,13970,0,55278,2.01234567901235,6.4,NA,25.53,14.7
6,190,124890,0.152133877812475,577327,2.91358024691358,6.8,NA,259.28,16.4
7,0,31520,0,97725,1.51851851851852,7.6,NA,60.28,14.9
8,10,27570,0.0362713093942691,91454,1.80246913580247,9.6,NA,51.1,19.4
9,0,14330,0,51161,1.68518518518519,9.1,NA,31.76,19
10,30,33110,0.0906070673512534,113637,2.01851851851852,9.1,24.3,51.82,16.9
11,30,37010,0.0810591731964334,153635,2.16666666666667,10.3,21.6,61.53,20.8
12,0,26160,0,66245,1.12345679012346,5.5,23.7,32.02,14.5
13,310,254420,0.121845766842229,1387442,4.04320987654321,8.6,26.5,406.84,18.5
14,50,81130,0.0616294835449279,233520,1.7037037037037,6.7,26.2,127.32,12.5
15,0,12810,0,32453,1.04938271604938,4.4,22.4,25.22,14.2
16,30,35250,0.0851063829787234,121401,1.87037037037037,7.6,23.6,59.03,15.1
17,40,64860,0.0616712920135677,253505,2.07407407407407,7,25.6,97.35,12.5
18,30,28620,0.10482180293501,98223,1.76543209876543,7.1,23.7,41.4,14.7
19,0,22830,0,67800,1.39506172839506,5.9,23.9,40.99,13.7
21,50,63300,0.0789889415481833,186449,1.8641975308642,5.9,27.9,61.35,11.8
22,20,60390,0.0331180659049512,166277,1.35802469135802,6.3,25.1,88.64,11.8
23,0,9230,0,28396,1.12345679012346,6.9,20.3,20.76,19.2
24,20,36470,0.054839594187003,110977,1.33333333333333,7.1,22.6,45.95,16.6
25,60,64370,0.0932111231940345,181018,1.70987654320988,7.5,28.2,104.85,13.1
